,chainlength,barrier_content,degenerate_barrier_content,degenerate_adjacent_score,cell_chain,internal_chainlength,barrier_fraction,imagename,source_cell,target_cell,vertex,object,weighted_barrier_content,binary_barrier,adjacent_barrier
0,7,0,0.0,0.0,"['Epithelial cells', 'CD57+ CD4 T cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",5,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,16,24,0.0,0,0
1,5,1,0.25,0.5,"['Epithelial cells', 'Myofibroblasts', 'Tregs', 'Tregs', 'CD4 T cells']",3,0.3333333333333333,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,96,113,1.0,1,1
2,5,1,0.5,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD8 Trm', 'CD8 Trm', 'CD4 T cells']",3,0.3333333333333333,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,120,109,1.0,1,1
3,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,191,209,0.0,0,0
4,7,2,0.3333333333333333,0.0,"['Epithelial cells', 'CD4 T cells', 'CD8 Trm', 'CD8 Trm', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",5,0.4,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,232,216,0.45,1,0
5,9,7,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",7,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,244,245,2.5928571428571425,1,1
6,7,3,0.6666666666666666,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells', 'CD4 T cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",5,0.6,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,272,286,1.45,1,1
7,9,3,0.5,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells', 'CD4 T cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells', 'CD4 T cells', 'CD4 T cells']",7,0.42857142857142855,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,291,302,1.45,1,1
8,7,3,0.6666666666666666,1.0,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD57+ CD8 Trm', 'CD57+ CD8 Trm', 'CD4 T cells']",5,0.6,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,294,280,1.8333333333333333,1,1
9,9,3,0.5,1.0,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD57+ CD8 Trm', 'CD57+ CD8 Trm', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",7,0.42857142857142855,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,300,275,1.8333333333333333,1,1
10,7,3,0.6666666666666666,1.0,"['Epithelial cells', 'Myofibroblasts', 'Mesenchymal cells', 'Mesenchymal cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",5,0.6,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,338,332,1.45,1,1
11,2,0,0.0,0.0,"['Epithelial cells', 'CD4 T cells']",0,,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,371,363,0.0,0,0
12,9,5,0.5,0.5,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Tregs', 'Tregs', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",7,0.7142857142857143,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,377,384,2.142857142857143,1,1
13,3,1,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,380,377,1.0,1,1
14,11,5,0.6,1.0,"['Epithelial cells', 'Myofibroblasts', 'Mesenchymal cells', 'Mesenchymal cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells', 'CD4 T cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",9,0.5555555555555556,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,383,388,1.6861111111111111,1,1
15,11,6,0.6,0.0,"['Epithelial cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Mesenchymal cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",9,0.6666666666666666,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,408,398,0.9956349206349207,1,0
16,5,0,0.0,0.0,"['Epithelial cells', 'Mesenchymal cells', 'CD8 Trm', 'CD8 Trm', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,409,407,0.0,0,0
17,5,0,0.0,0.0,"['Epithelial cells', 'CD8 Exhausted TDT', 'CD57+ CD4 T cells', 'CD57+ CD4 T cells', 'CD4 T cells']",3,0.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,415,424,0.0,0,0
18,15,7,0.42857142857142855,0.5,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Tregs', 'Tregs', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells', 'CD4 T cells', 'CD8 T cells', 'CD8 T cells', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",13,0.5384615384615384,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,436,457,2.3031135531135534,1,1
19,11,3,0.4,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD8 Trm', 'CD8 Trm', 'CD8 T cells', 'CD8 T cells', 'Myofibroblasts', 'Myofibroblasts', 'Naive CD8 T cells', 'Naive CD8 T cells', 'CD4 T cells']",9,0.3333333333333333,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,451,443,1.3095238095238095,1,1
20,9,3,0.5,1.0,"['Epithelial cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD8 Trm', 'CD8 Trm', 'Mesenchymal cells', 'Mesenchymal cells', 'CD4 T cells']",7,0.42857142857142855,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,459,488,1.8333333333333333,1,1
21,3,1,1.0,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD4 T cells']",1,1.0,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,514,541,1.0,1,1
22,7,4,0.6666666666666666,0.0,"['Epithelial cells', 'Mesenchymal cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",5,0.8,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,546,503,1.2833333333333332,1,0
23,15,7,0.5714285714285714,0.5,"['Epithelial cells', 'Myofibroblasts', 'CD8 Trm', 'CD8 Trm', 'CD8 T cells', 'CD8 T cells', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'Myofibroblasts', 'CD8 Trm', 'CD8 Trm', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",13,0.5384615384615384,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,547,543,1.7058913308913308,1,1
24,5,2,0.5,0.0,"['Epithelial cells', 'CD57+ CD8 Trm', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",3,0.6666666666666666,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,578,562,0.8333333333333333,1,0
25,13,5,0.5,1.0,"['Epithelial cells', 'Myofibroblasts', 'CD57+ CD4 T cells', 'CD57+ CD4 T cells', 'Myofibroblasts', 'Myofibroblasts', 'Endothelial cells', 'Endothelial cells', 'CD8 Trm', 'CD8 Trm', 'Myofibroblasts', 'Myofibroblasts', 'CD4 T cells']",11,0.45454545454545453,P1_TMA_REC_20190508-roi_4,CD4 T cells,Epithelial cells,579,589,1.6409090909090909,1,1
